epoch,accuracy,loss,val_accuracy,val_loss
0,0.8748503923416138,0.4144000709056854,NA,NA
1,0.9369993805885315,0.18781012296676636,NA,NA
2,0.9522603750228882,0.14028409123420715,NA,NA
3,0.9605008959770203,0.11657126992940903,NA,NA
4,0.965587854385376,0.10043924301862717,NA,NA
5,0.9706979393959045,0.08544736355543137,NA,NA
6,0.9725623726844788,0.07716088742017746,NA,NA
7,0.9751864671707153,0.07025803625583649,NA,NA
8,0.9802274107933044,0.057361066341400146,NA,NA
9,0.9811021089553833,0.05479481443762779,NA,NA
0,0.8475278615951538,0.7285104393959045,NA,NA
1,0.9296335577964783,0.23811282217502594,NA,NA
